id,num_vertices,num_faces,volume,surface_area,average_edge_length,genus,max_ver_magdisp,max_ver_stress,max_hor_magdisp,max_hor_stress,max_dia_magdisp,max_dia_stress,max_tor_magdisp,max_tor_stress,num_tets,mass,High_Stress_Area,Critical_Area_Ratio,curvature
0,42360,84764,307642.70359097305,73622.29836912792,1.3470765411451024,12.0,0.3218256,658.5779,0.2398733,414.3286,0.1656672,319.0323,0.1749505,325.8028,570111,1.3751628850516495,9417,0.0834300497018773,0.09179211181492986
4,35622,71368,104015.59872298413,39149.66754684719,1.0485144030150015,32.0,1.222151,1057.485,1.000106,908.3706,0.6117905,752.3348,0.3997367,432.3469,431759,0.4649497262917391,7166,0.0815170405423852,0.20555539943135476
6,35186,70532,114996.43975304914,58499.675375228704,1.306740289802938,41.0,4.433872,4823.208,0.9654084,1666.009,3.76125,4342.286,0.4957121,906.2914,314815,0.5140340856961297,5642,0.0820702295406278,0.20856880500492284
8,24577,49174,89326.26856864101,30458.40876419841,1.1300231371041438,6.0,1.516299,1008.945,1.608428,956.9317,0.3757124,469.8122,0.5833325,676.9794,293971,0.3992884205018253,6173,0.10276686422055,0.12130656811652417
9,38322,76720,78486.3213117592,38243.142004311085,0.9895066473315292,20.0,2.183306,1677.547,1.88095,1919.958,0.787904,1507.509,0.6043976,826.2255,481030,0.3508338562635636,9194,0.0947541997320416,0.21898724683442453
10,43107,86250,89919.88528275519,69797.80972083045,1.2926922316502507,10.0,0.98185,788.448,0.8286518,607.6455,0.4665779,510.9708,0.3961667,731.7008,401725,0.4019418872139157,9292,0.1074579916966381,0.12599592275812013
12,45862,91792,164079.85278731736,46607.6522412569,0.9992946722834036,18.0,0.7475083,1851.074,0.7642335,1133.119,0.2016566,837.7428,0.2715657,441.3822,625048,0.7334369419593086,9176,0.0740364211426588,0.15298457686071507
14,39157,78710,211506.4406569465,61185.84616055647,1.2869115891704193,100.0,1.168271,1330.051,0.9337082,765.4058,0.3764596,621.1868,0.2022859,352.4014,469738,0.945433789736551,9691,0.1019129044809708,0.1603453586245071
15,20730,41484,129481.0876004323,48599.39154042077,1.604276213688996,7.0,0.6602831,837.8741,0.6776149,643.8823,0.2996366,406.5309,0.2322743,338.0365,224221,0.5787804615739325,4556,0.0974920825130531,0.11665400345292616
16,25703,51446,98714.93865364912,32239.874929130845,1.1568889965714968,11.0,1.327584,1761.383,1.026911,1250.093,0.5734717,619.5664,0.3732003,593.4944,303819,0.4412557757818116,5247,0.0842580251473351,0.12929412294100143
19,37987,75994,93522.85030633993,42798.433277727454,1.0468154073511473,6.0,1.464788,1202.083,1.613414,842.0427,0.5211643,818.2881,0.6637756,882.8882,438547,0.4180471408693395,9350,0.103821981389771,0.1560385572995728
20,27529,55254,93875.5033490189,53155.74975759405,1.4317761980267234,50.0,1.069466,791.5018,1.007401,660.8558,0.6355884,633.4947,0.3833724,476.9447,267823,0.4196234999701145,6106,0.1068080044780296,0.20022957234158248
21,15564,31148,72802.09743533103,27713.388501747715,1.3825284893067773,6.0,2.165065,1006.544,1.490522,791.685,1.743223,1066.08,0.6254251,645.7174,176078,0.3254253755359297,4375,0.1197186952714536,0.18254773762679283
22,40427,80886,173762.23226663907,84855.88713619953,1.5169701957295074,9.0,0.5641687,680.1785,0.412142,537.7938,0.3189507,315.2081,0.189726,321.0497,346004,0.7767171782318767,7929,0.1043990045951888,0.1304214455575865
23,19039,38106,45453.15481393392,23265.68753817487,1.136483332494525,8.0,4.074253,2709.147,5.154334,2406.072,0.7986945,840.5061,1.358528,1138.232,207884,0.2031756020182846,3649,0.0841753171856978,0.15759989004773495
25,32413,64850,79950.48894225042,27381.777461829595,0.9211128293375764,7.0,2.291078,2468.175,2.233003,1786.254,0.5177682,843.7404,0.5447881,530.7501,477057,0.3573786855718594,8031,0.0859969803077516,0.16968973585680613
27,23986,47992,213306.1128358725,43655.6500845981,1.3771407932909636,6.0,1.416727,850.4824,0.8860566,387.2315,0.642565,685.4629,0.7180872,457.7581,317477,0.9534783243763502,5820,0.0916780870469259,0.09677189512715562
28,23668,47372,204116.99740753183,52654.57046694403,1.5393128053810277,10.0,1.056893,1272.023,0.8828787,810.3981,0.3532265,530.9316,0.166005,518.1812,296626,0.9124029784116674,5837,0.0973612223111822,0.0948800285522302
29,92602,185240,97972.9138033977,62090.05108399379,0.8350067597868428,10.0,1.750704,1891.641,1.480224,1295.897,0.5749731,821.8462,0.4062034,599.2084,1152206,0.4379389247011878,20457,0.088268035899206,0.16252376760827159
30,10647,21314,68878.16460815653,26983.61654921044,1.6781513892869326,6.0,2.196278,1303.199,2.079943,1017.983,1.068309,726.2039,1.698491,1336.627,100965,0.3078853957984597,2253,0.1028485346480416,0.12991954493429034
33,91955,184270,59820.13804070128,71544.05186683616,0.8993838189804008,91.0,2.506477,1346.228,2.961179,1367.509,1.108796,1054.877,0.752136,682.7851,750487,0.2673960170419347,12478,0.0743423992373916,0.1801093422869588
34,55026,110116,54720.79918545771,49996.3028401114,0.9711584551407126,17.0,2.009158,1194.335,2.148854,1231.333,0.5994661,844.6988,0.5928597,780.0781,490613,0.244601972358996,8403,0.0786701993203074,0.14403128737408433
35,36822,73712,46488.2226733158,46683.85168852177,1.1752268726673154,18.0,2.587605,1602.432,3.832947,1529.422,1.12039,988.0487,0.6352522,662.9236,289286,0.2078023553497216,5019,0.0770896691549165,0.1463029764707507
38,23502,47028,172230.42075226916,36796.78004318669,1.2817101697235391,7.0,0.5824952,744.9553,0.4269034,497.4877,0.4014889,753.883,0.2705508,415.1404,286072,0.7698699807626432,5110,0.0876952119443967,0.10952607918905657
39,19042,38104,239921.6867906987,41414.21525522713,1.5649808407309456,6.0,0.4120154,687.1707,0.4891678,553.4059,0.1709405,343.5669,0.1712208,305.9454,234831,1.0724499399544234,4403,0.0922944702972372,0.0843582361605813
40,12808,25648,95869.64045432056,33300.922238238105,1.6995057347415992,9.0,1.370862,1448.087,1.467324,1060.028,0.326268,638.6975,0.6108811,786.539,136271,0.4285372928308129,2435,0.0849438359031605,0.13182501631166618
50,19950,39920,78769.9968815968,31155.86161514028,1.2688979961317854,6.0,1.536677,1188.339,1.990238,1038.505,0.5360041,578.351,0.7387816,1256.035,221839,0.3521018860607377,3604,0.0782576596530084,0.12020457256449761
51,28697,57494,224368.49446106184,58181.64509353877,1.468731016043942,26.0,0.9693751,1408.615,0.7368961,751.8851,0.422471,682.9803,0.2383381,387.5391,340975,1.0029271702409466,7147,0.1030287304127203,0.14055037521487065
53,37407,75142,110915.23148291034,55682.08417141908,1.2371442623736366,83.0,2.440479,2512.976,3.457741,4326.222,1.262147,2636.069,0.5715813,1036.837,414851,0.4957910847286093,8987,0.1044842058758559,0.177001421913592
55,20854,41740,89623.60196104774,35868.872325708144,1.327350028474847,9.0,1.392442,2161.954,1.444185,1658.983,0.4892057,1011.331,0.4300978,623.5731,242282,0.4006175007658834,4253,0.0853108137925501,0.12831692100810746
56,18474,36968,284927.5612788341,50810.38775427365,1.7641921713907045,6.0,0.5084434,778.228,0.4301174,507.0108,0.1872515,370.0817,0.1694518,295.9936,219410,1.2736261989163886,4505,0.1002894033837934,0.07950662525217707
58,19734,39488,306833.9377348144,53982.41837108561,1.7599598590756649,6.0,0.4424836,682.9165,0.369788,405.2676,0.1725674,336.4866,0.17014,319.2635,243475,1.3715477016746205,4763,0.0964462893591171,0.08211026675403515
59,17663,35346,93356.65952727248,33178.9034772958,1.4221208430458496,6.0,2.522228,1641.794,3.04978,1241.843,0.5594327,787.7128,0.4886863,562.486,179707,0.417304268086908,3499,0.0916016545368867,0.09576325345470307
61,17098,34216,324206.9054228962,48881.98941447545,1.7969729154431495,6.0,0.4390384,1006.75,0.3733253,408.8269,0.1633324,676.8886,0.2294946,389.1822,201352,1.449204867240346,3830,0.0925411361055403,0.06358231917555175
62,13301,26622,106473.15918764911,34067.50969869271,1.700148199859882,6.0,1.333492,1000.181,1.068866,687.8608,0.4391686,415.6976,0.3783407,430.7633,135618,0.4759350215687916,2803,0.0972183684794672,0.09887921446095206
63,29736,59500,123696.60505444168,67779.71073236015,1.601223674331567,8.0,0.7376505,665.0992,0.5653824,481.0448,0.4469345,445.1033,0.3486796,452.5424,237990,0.5529238245933543,5963,0.1116938580553318,0.11702617033293014
64,23840,47700,249369.49536109244,41713.5179103645,1.3050790405204782,6.0,0.5917521,699.0228,0.6007903,509.162,0.2275115,432.1361,0.2650914,574.2831,327626,1.1146816442640832,5904,0.0909314933464761,0.1115169267552206
65,16857,33754,134527.20460649332,40327.55728482887,1.65656301099322,11.0,1.825855,1383.473,0.4459702,534.8087,1.400475,924.5239,0.2126875,308.433,177903,0.6013366045910252,4379,0.1170511346930047,0.08043754539421087
66,38613,77270,105326.7553414372,45436.94413949156,1.094270433969913,12.0,0.5896018,1161.774,0.5693856,862.8164,0.3920666,814.8082,0.31932,610.1272,465341,0.4708105963762243,8475,0.0895773218758918,0.14137730347200073
69,13204,26436,168521.76436021435,43835.24855088038,1.960584869999355,8.0,1.074535,1167.994,0.9484822,635.1621,0.6710564,678.2489,0.4405645,465.7251,128694,0.7532922866901582,2822,0.1016204537270435,0.07139191896348179
70,14078,28180,108878.27899830056,35275.03249701776,1.6568700879603435,7.0,1.432069,1435.222,1.23038,1126.926,0.4870729,628.9907,0.289217,411.0273,132859,0.4866859071224035,2982,0.1031798207674475,0.09461472646514564
71,17801,35634,134341.64790866207,43683.188454045056,1.648408909319789,9.0,1.823161,2864.464,2.123211,2307.41,0.3436465,1253.246,0.4547605,414.8506,199412,0.6005071661517195,4143,0.1003949887319165,0.17373572292204803
72,16941,33910,141278.8356532572,47454.26501120136,1.778571493310248,8.0,1.506919,1223.792,1.781618,1189.625,0.617431,1086.385,0.5785369,434.4343,164020,0.6315163953700598,3818,0.1081004558452957,0.08237168855419731
73,52667,105478,122129.5491220946,45263.08741785887,0.947768403923212,37.0,1.575359,1746.851,0.9470996,837.8126,0.9649112,1629.518,0.7810993,805.8174,663966,0.5459190845757629,11291,0.084284466606451,0.1479195323772437
76,26345,52894,109214.4872363806,53956.71596454407,1.4699995071318035,52.0,0.8830404,728.9378,0.8113034,642.4574,0.5745158,622.3306,0.33366,460.4828,256650,0.4881887579466213,6192,0.1130133235991969,0.18371052572946622
77,21939,43906,139009.43276562094,49808.27615671,1.570225864674726,8.0,0.8048338,722.8359,0.8744306,762.1683,0.753639,522.3374,0.2283724,309.1831,258370,0.6213721644623257,6364,0.120555418742541,0.089270619392951
78,46102,92224,179291.71402999217,48209.50304940701,1.0065161174534014,6.0,1.259153,1343.678,1.295173,933.9296,0.2674286,598.8268,0.3336877,514.6563,619369,0.8014339617140651,9500,0.0770878639358629,0.12663099709297368
79,39610,79240,172574.74254905366,102807.85583591432,1.720306259029191,6.0,0.7636228,787.9434,0.3575586,375.2846,0.56291,760.9284,0.215547,307.2901,284980,0.7714090991942699,6767,0.1031727881199591,0.05974381108299685
80,34049,68134,93297.62317828865,32859.04518125175,0.9790896616534432,10.0,2.408189,2047.418,2.698867,1347.981,0.6875717,943.3354,0.8422624,789.9477,417734,0.4170403756069503,7948,0.0937032102899046,0.1379329270330484
81,33268,66572,93384.23587106206,32950.94821668793,0.985772288664254,10.0,2.412284,1780.479,2.650574,1205.093,0.7012163,916.0231,0.8052344,798.5527,416004,0.4174275343436474,7791,0.0926419177626102,0.1368127828833328
82,97341,194834,109538.71941165626,65616.3004759238,0.8388807519634045,39.0,2.949905,2711.418,2.364963,1748.93,0.9140135,1184.888,0.3191369,390.821,1211060,0.4896380757701035,18852,0.077401554436055,0.22303411076791524
86,64534,129388,312680.31268429186,120743.80331821392,1.4653313219032675,81.0,0.2884869,483.8012,0.2116809,269.0778,0.1520164,245.3218,0.1658531,325.2237,642162,1.3976809976987847,11972,0.0908490730693054,0.21483252737381472
87,31281,62586,239658.15298395712,66740.77680200135,1.5304402228530514,7.0,0.6808685,879.9901,0.5823802,479.5972,0.2605833,471.3498,0.1385729,281.5208,395743,1.0712719438382885,8488,0.106739100363426,0.09943808083548368
91,26248,52516,134717.9846430522,39195.814746711854,1.219866457388396,6.0,0.8279374,655.2886,0.5014808,514.4991,0.4863251,419.2048,0.235828,405.1993,368440,0.6021893913544434,7580,0.1042096290797107,0.1726802564924889
92,17124,34268,374336.5557608854,52551.75430168271,1.8617679149212367,6.0,0.3216349,513.6497,0.2460626,324.0308,0.1494061,300.0116,0.1482469,303.0572,215973,1.673284404251158,4034,0.0922310119347021,0.12531166064270385
94,30847,61714,94034.82450920444,29985.500511769664,0.951571187765992,6.0,2.823291,2087.721,2.57613,1872.396,0.6373073,864.632,0.3810347,468.9343,374068,0.4203356655561439,5888,0.0772348658752541,0.15814878861136197
95,41960,83984,134182.38190958148,42875.125630057366,1.0155045918649173,17.0,1.7207,743.5557,0.9565755,657.0261,0.9844111,672.7443,0.936377,613.8535,575194,0.5997952471358293,9693,0.0849763735348523,0.18946744569976345
96,28250,56524,167682.10542342954,47998.30420888239,1.333990611156323,7.0,2.675561,1394.086,2.578407,1112.831,0.6270611,569.2162,0.2446773,410.7895,356485,0.7495390112427301,7180,0.099984682012505,0.10212669755745535
97,61246,122608,168726.04086006148,56654.297873919895,0.9558190970392548,30.0,0.9506122,741.4283,1.222058,853.3026,0.2908719,382.6891,0.3070789,467.9254,808470,0.7542054026444749,15714,0.0973859368608931,0.17423167547235188
98,63028,126172,169782.42065456067,57270.383626108494,0.9491553469118358,30.0,0.9300627,722.8921,1.201393,866.4918,0.2993264,396.6914,0.2813896,442.4305,835000,0.7589274203258862,16163,0.0970436014745968,0.18153048648233627
101,28483,56994,145593.28863595804,71414.61765957621,1.6711031667593048,8.0,0.8172499,717.2394,0.9080148,600.2522,0.3495609,527.1879,0.2889144,358.3351,288833,0.6508020002027325,6811,0.1122815694032311,0.11850462272269827
102,54488,109792,108852.33353164943,61581.607867157225,1.0707208050218724,205.0,1.227479,1474.907,0.9625123,1865.747,0.5222916,724.1509,0.3368638,491.5602,489373,0.486569930886473,10971,0.1026583948572551,0.201885427755811
106,50866,101752,234930.7750971574,63497.10349050099,1.0821828573830412,6.0,0.8783373,996.3485,0.6377039,554.5587,0.3744071,680.5646,0.2943741,474.3581,868383,1.0501405646842936,15663,0.0949382050054248,0.12544815222132652
107,18741,37502,285643.6943754294,47850.57114740406,1.6903605483422195,6.0,0.3819695,592.324,0.2795374,349.2282,0.1657962,297.4729,0.1763165,316.9294,231319,1.2768273138581696,4394,0.0935789585773613,0.0846958148394653
108,72149,144334,106016.574421296,63828.99583348884,0.9371403479686544,10.0,1.306946,967.6602,0.8740316,620.5573,0.6080902,574.8652,0.3424861,454.401,830260,0.4738940876631931,16334,0.0963123695413752,0.16341714931916404
112,39536,79120,130219.23154383818,49577.36459674614,1.124633957964858,13.0,1.511275,1267.235,1.820237,1666.519,0.7099185,930.1992,0.254558,396.929,498272,0.5820799650009567,9107,0.0905907748013011,0.1514135627725627
113,20830,41684,243903.1766238557,55831.89056937718,1.738332404644918,7.0,0.5978304,748.3798,0.4694385,482.8434,0.2346037,351.7932,0.1731338,304.8788,231495,1.0902471995086351,4849,0.1008716273844937,0.07831731182483832
114,29063,58146,158666.4329895637,47162.777720826496,1.3040582915580317,6.0,1.578331,1707.858,1.442992,1101.314,0.3801667,733.7027,0.1489883,275.212,363638,0.7092389554633498,5728,0.078004139884519,0.0898654386136907
115,15608,31236,177391.23357520916,41756.90169697834,1.7297358180190308,6.0,1.112942,965.1507,0.2867484,250.8073,0.8175489,950.2092,0.3722085,756.3696,157926,0.792938814081185,3725,0.1105177273401572,0.08256648839114676
116,17892,35824,177142.82428419648,46207.84564644509,1.6786519346594977,11.0,1.255562,1184.622,1.113364,770.3575,0.385934,488.3409,0.2031193,315.6531,194912,0.7918284245503584,4038,0.0990288404944084,0.10228918597332363
119,25545,51122,234602.1410306718,67086.6532992412,1.716506648391792,9.0,0.7263337,803.2215,0.6151729,486.8904,0.2747508,437.6518,0.1904362,316.8724,290797,1.048671570407103,5785,0.0965840790703886,0.09854257061762722
120,51383,102818,150628.93556897342,70460.02477832085,1.1785545052275004,14.0,0.6320509,535.561,0.5874962,475.1161,0.3408341,530.1401,0.2821725,345.7274,582373,0.6733113419933112,11375,0.0950292397660818,0.17744035674013733
121,16193,32422,133303.2809351965,42478.08644895965,1.71412419341235,10.0,3.740464,2194.478,3.467805,1630.233,0.8869408,942.93,0.2393716,399.9958,159462,0.5958656657803284,3435,0.1004885469385367,0.12502885674225064
122,42754,85528,135409.407102465,38721.57633613792,0.9384571790921822,6.0,1.896175,921.2919,1.211215,560.2567,0.8171644,453.8155,0.5736915,538.5402,607588,0.6052800497480185,10881,0.0910338249935161,0.14995774405805332
123,89267,178778,118886.24465482858,52468.768308786974,0.7907125324136065,62.0,2.48576,2046.373,2.530945,1843.337,0.5775338,1166.299,0.3821937,553.4429,1048878,0.5314215136070838,18586,0.0864654133694342,0.2153009285939295
124,47439,94906,96156.31252638908,74109.49208334042,1.2530717721171745,8.0,2.098425,1768.212,0.6107695,844.7499,1.817335,1849.568,0.2362889,422.9363,419466,0.4298187169929592,7414,0.0805895844429709,0.12948598417673518
125,31037,62094,108175.31650607949,33859.03273020972,1.0490847241754409,6.0,1.090611,1450.117,0.9615727,940.7301,0.3296412,679.9722,0.2764068,612.9954,431861,0.4835436647821753,6983,0.0817327387431674,0.1396431784198175
127,34901,69822,223620.760228404,78212.13762813958,1.5744122767529356,6.0,0.428481,745.157,0.3125033,403.4543,0.2320539,369.034,0.1809951,323.0413,380468,0.999584798220966,7308,0.0928436217651468,0.10498310513978881
129,19285,38602,144482.0096627825,47380.22413071665,1.6381990089618417,9.0,1.474539,1339.559,1.196886,930.771,0.4668513,525.4788,0.21249,329.0746,211629,0.6458345831926379,4181,0.0947449522989417,0.13691674217403202
130,11736,23492,60391.48981725896,22396.69109360838,1.3965977347488436,6.0,11.72591,4160.662,4.270118,7758.195,8.388743,5605.269,4.167908,2773.757,137020,0.2699499594831476,3300,0.1166489925768822,0.1417628887698655
131,28940,57936,178798.21932062172,55817.92305295081,1.4351010959434118,15.0,0.6857955,999.578,0.4552773,485.9839,0.4068385,558.0804,0.2745921,383.9031,348271,0.7992280403631792,6845,0.0964193148523777,0.11995623957074006
133,41618,83216,137167.76503755216,98679.41959576236,1.6336037451856995,-4.0,1.0213,964.197,0.7277564,639.194,0.4342761,598.2369,0.235067,299.7714,344755,0.6131399097178583,7384,0.0974631081544837,0.1506445765380309
134,55352,110736,141589.0535964201,46733.747377266845,0.9189947043918122,9.0,1.576497,1084.44,1.113703,613.3947,0.6022844,522.5632,0.2884488,360.3917,716255,0.6329030695759978,11703,0.0814342673838467,0.1368232633554521
135,54887,109806,141578.5389872949,46729.99329680608,0.9250785873282746,9.0,1.590747,1077.129,1.103064,650.8244,0.6172579,538.0834,0.2652465,363.4545,712802,0.6328560692732083,11603,0.0812080067189249,0.1348233868220026
136,77028,154156,97114.3120477798,50727.51918641724,0.8266170159401905,26.0,4.754702,4807.684,4.468507,2633.799,1.016484,2354.14,0.3032731,738.0855,906038,0.4341009748535757,13351,0.0720822377833807,0.2005388999490314
138,33327,66686,159953.9947215693,55326.07423232263,1.3058973714848714,9.0,1.776771,1200.408,1.405468,820.9127,0.6261585,577.8711,0.24569,301.4489,382730,0.7149943564054149,6049,0.0769690800356279,0.12668846760708616
139,33797,67626,159943.96354138077,55327.69238567313,1.297423099211971,9.0,1.780051,1818.773,1.404692,887.9479,0.6324044,1659.296,0.2385238,671.25,388639,0.7149495170299721,6135,0.0768912618438863,0.13942449021243883
140,32215,64462,278930.6504281508,63239.474073979465,1.4647510348078092,9.0,0.3986278,754.3972,0.3239848,405.5645,0.2194425,435.5521,0.1812812,318.6643,388472,1.246820007413834,7123,0.0900005054078641,0.084171226173021
141,26479,53038,86267.87150553794,43117.99375013961,1.2715478320356215,21.0,30.24428,14901.76,19.42854,11659.06,14.27767,8667.862,2.05769,1629.359,251932,0.3856173856297546,4990,0.0913986372628031,0.15145716091531922
142,196447,392966,193282.4727933788,131750.71791190075,0.830861276388301,19.0,0.6829831,784.1266,0.4252734,479.8749,0.3586827,444.3174,0.2183996,336.704,2051296,0.8639726533864034,41493,0.0975630975278278,0.21474791499071838
146,43104,86244,217159.0088755764,53681.34160627093,1.0970296074767456,10.0,0.4477445,715.1441,0.2915778,384.6516,0.2786283,379.8679,0.1617211,321.8281,560470,0.9707007696738266,10418,0.0927082777154857,0.1417643319621587
147,28011,56102,122181.65691328996,43392.19260952347,1.3094271836215852,21.0,2.972321,1687.191,3.136381,1291.375,0.9396535,921.4349,0.2810091,398.2295,329782,0.5461520064024061,7329,0.1084861672365558,0.11572638167430206
148,50994,102032,130190.585221618,44242.2567912664,0.9451810491027132,12.0,2.490718,1719.315,1.894264,1225.197,0.8692326,792.3448,0.2839422,364.2109,640197,0.5819519159406326,10056,0.07779668884419,0.141230877162914
149,29503,59034,167159.17588268887,61368.03653190212,1.5042032853696212,8.0,1.664253,1057.441,1.628901,948.7131,0.4051062,494.3711,0.2775032,325.6289,311884,0.7472015161956194,6727,0.1030547214902874,0.1184207800763572
